Date,Time,League_name,Match_round,Match_date,Match_time,Home_team_name,Away_team_name,Home_team_odds,Away_team_odds,Home_team_Asian_Handicap_odds,Away_team_Asian_Handicap_odds,Home_team_Line,Away_team_Line
2023-03-19,2023-03-19 16:02:26.199174,England Premier League,Asian Spread & Goal Line,Sun Mar 19,10:00 AM,Arsenal,Crystal Palace,1.25,11.00,"-1.5
1.830","+1.5
2.070","O 2.5, 3.0
1.880","U 2.5, 3.0
2.020"
2023-03-19,2023-03-19 16:02:26.199174,England Premier League,Asian Spread & Goal Line,Sat Apr 01,10:00 AM,Arsenal,Crystal Palace,1.25,11.00,"-1.5
1.830","+1.5
2.070","O 2.5, 3.0
1.880","U 2.5, 3.0
2.020"
2023-03-19,2023-03-19 16:02:26.199174,England Premier League,Asian Spread & Goal Line,Sat Apr 01,7:30 AM,Man City,Liverpool,1.57,5.00,"-1.0
2.030","+1.0
1.870","O 3.0
2.000","U 3.0
1.900"
2023-03-19,2023-03-19 16:02:26.199174,England Premier League,Asian Spread & Goal Line,Sat Apr 01,10:00 AM,Arsenal,Leeds,1.33,8.50,"-1.5
1.950","+1.5
1.950","O 3.0
1.970","U 3.0
1.930"
2023-03-19,2023-03-19 16:02:26.199174,England Premier League,Asian Spread & Goal Line,Sat Apr 01,10:00 AM,Bournemouth,Fulham,2.80,2.45,"0.0
2.070","0.0
1.830","O 2.5
2.030","U 2.5
1.870"
2023-03-19,2023-03-19 16:02:26.199174,England Premier League,Asian Spread & Goal Line,Sat Apr 01,10:00 AM,Brighton,Brentford,1.66,5.25,"-0.5, -1.0
1.880","+0.5, +1.0
2.020","O 2.5, 3.0
1.980","U 2.5, 3.0
1.920"
2023-03-19,2023-03-19 16:02:26.199174,England Premier League,Asian Spread & Goal Line,Sat Apr 01,10:00 AM,Crystal Palace,Leicester,2.45,2.80,"0.0
1.830","0.0
2.070","O 2.0, 2.5
1.980","U 2.0, 2.5
1.920"
2023-03-19,2023-03-19 16:02:26.199174,England Premier League,Asian Spread & Goal Line,Sat Apr 01,10:00 AM,Nottm Forest,Wolverhampton,2.75,2.55,"0.0
2.000","0.0
1.900","O 2.0
1.840","U 2.0
2.060"
2023-03-19,2023-03-19 16:02:26.199174,England Premier League,Asian Spread & Goal Line,Sun Apr 02,10:00 AM,Arsenal,Crystal Palace,1.25,11.00,"-1.5
1.830","+1.5
2.070","O 2.5, 3.0
1.880","U 2.5, 3.0
2.020"
2023-03-19,2023-03-19 16:02:26.199174,England Premier League,Asian Spread & Goal Line,Sun Apr 02,7:30 AM,Man City,Liverpool,1.57,5.00,"-1.0
2.030","+1.0
1.870","O 3.0
2.000","U 3.0
1.900"
2023-03-19,2023-03-19 16:02:26.199174,England Premier League,Asian Spread & Goal Line,Mon Apr 03,10:00 AM,Arsenal,Crystal Palace,1.25,11.00,"-1.5
1.830","+1.5
2.070","O 2.5, 3.0
1.880","U 2.5, 3.0
2.020"
